id,review,created_at,ratings,upvotes
11,"After placing my order with what seemed like a call center out of country, I was hung up on before asking any questions. After waiting 2 HOURS I FINALLY reached an awesome person named Alan at a pizza hut near me who was able to tell me what restaurant would have my order. After calling that restaurant the girl was very short and dismissive with me. Saying ""orders are out"" and hung up. I received a soggy pizza and cold wings and I put the tip on my card so I tipped VERY WELL for horrible service and food I had to heat up after 12 hours of work! Highly disappointed!!","April 2, 2022",1,3
12,"I put an order on their website, while I was putting the order I selected my current location and the order was placed to their Noida, sector 119 outlet which is around 4km away from my delivery location. After waiting for around 40 min I got a call from them. And they were saying that my location is too far to deliver my order. When I confronted them they said to try to deliver it. But after 10-15 min they called and refused to deliver my order.","March 22, 2022",1,3
13,"I called in a order for a large 3 topping topping pizza since we had a coupon for $8.99 at the 377 Lear Rd., Avon Lake, OH 44012 Pizza Hut. I wanted only one item (black olives) on 1/2 so I thought I could get two extra items on the other 1/2. She said, ""No, the black olives counted on the whole pizza and there would be an upcharge for the other two items."" I never had this problem with an online order that I have bought so much pizza at this location. This place is not worth the trouble, not going back after this last order I placed.","March 21, 2022",1,0
14,"We called to order 10 orders of breadsticks and our boy Chris was the best man to answer. He was very respectful and thoughtful to all our confusions. Other pizza huts need guys like Chris. with love - Jacob, Chris, Jonathan","March 20, 2022",5,2
15,"I ordered three pizzas, one Supreme, one pepperoni, one meat lovers. I received two pepperoni and one Supreme. The pepperoni had slices without pepperoni and all three were missing sauce. Never again Pizza Hut.","March 16, 2022",1,0
16,I walked in to an empty store front and finally someone came out to take order. He couldn’t speak English and I don’t think he understood either. A delivery guy came in and took a simple order. When I got home the order was wrong. When I called the store I was hung up on!!!,"March 16, 2022",1,0
17,"Pizza Hut offered a number of crust seasonings for their pizzas. I don't understand why they discontinued this, it was the thing that made them better than competitors. Now they are like everyone else.","March 16, 2022",2,0
18,"I placed an order at 2:00 pm. for a staff meeting at 6:00 pm. My order was for 7 large pizzas. My pizzas arrived at 7:00 after my meeting was over. I had nothing to feed my staff. I called the location at 62nd and Allisonville in Indianapolis IN. several times. I finally spoke to someone who told me she couldn't help me as I placed the order on line. She then transferred me to the ""hotline"" where I was hung up on three times. I have no way of getting my money refunded as I can't get through to anyone. Will never order from Pizza Hut again.","March 11, 2022",1,0
19,"2/25/22 I am terribly disappointed and after their bad behavior last night I will not be ordering from them again, ever. I ordered dinner last night for delivery. When my delivery time came and went with no food, I checked my app and it said, delivered. I called their number several times, but no one answered. After an hour of trying to reach someone, I checked Google reviews. This wasn’t the first time someone ordered, and their app said it was delivered, but hour later still no food.","March 2, 2022",1,0
20,"If you order Pizza Hut after this, you're part of the problem. So we just ordered a pizza from pizza hut. They screwed up in the bread sticks. So the guy said he was going to come back. My boyfriend call the store, got it credited so everything was all good. The guy came back anyway with bread sticks. When my guy answered the door, he told the delivery guy that he called the store and they credited him so it's all good. The delivery guy wanted us to pay him anyway. I was grabbing some cash to tip him just for coming back until he threw the bread sticks at my boyfriend and called him a ""**"". ","Feb. 28, 2022",1,0
21,"I ordered with the Stoneybrook, Louisville Ky location. I waited 1 1/2 hours for a pizza to be delivered. I live 2 miles from the store. When I called the store to check on my order they apologized for the delay and offered a credit. Of course the pizza was very cold and disappointing. I have emailed many times. Customer service agreed to the credit but I have not received it. The store manager also said I am to receive credit. They are no longer replying to my emails. This just makes a bad experience worse.","Feb. 27, 2022",1,0
22,"Not worth the price. Taste was disgusting. Very little cheese, very little meat. Crust was not cooked. Hard to chew. Crust was very thin for hand tossed and adding a dollar more for pan pizza is outrageous because there is not much of difference!!! So not worth the price! So Fed Up! Trash pizza!!","Feb. 26, 2022",1,0
23,"Order was a med Supreme. Showed up on time but it was cold, barely any toppings, more sauce than toppings. Some toppings not on. Also it tasted old as if was made before my order was placed. I will not order anything else again from 26 wasted.","Feb. 20, 2022",1,0
24,They recycle you over and over through their website. I will do everything in my power to never have Pizza Hut again. I had to enter my credit card information 10 times and redo the order over and over until they closed and now no pizza.,"Feb. 20, 2022",1,0
25,Pizza Hut has the worst chicken wings I have ever eaten.. They use the ones that you buy in grocery stores that are boxed the pre cooked kind (gross). Go order some wings from Volcano's or Rose City Pizza & compare them to Pizza Hut's wings & you will see they are rubbery just like the frozen ones from the grocery store. I will never order from here ever again. I will stick to Volcano's or Rose City because they are actual chicken wings not the frozen rubbery ones!!,"Feb. 14, 2022",1,0
26,"I can't believe Pizza Hut has removed our ability to add flavor to their tasteless, cardboard crust. Are you kidding me? You removed the parmesan crust? At least it had some flavor. Please bring back crust options or you have lost customers.","Feb. 12, 2022",1,4
27,"Pizza Hut pizza is by far my favorite pizza but the store on Vaughn Road leaves a lot to be desired. I ordered a pizza two hours before closing then five minutes before closing they called me and told me that they did not have a delivery driver and it would take 5 to 7 days to receive my money back on my card. I then called customer service to complain and to see what other options I had, And the gentleman that I spoke with after getting my information just transfer me to the store. I will never order from that store again although it’s closest to my house. I would rather not even have Pizza Hut.","Feb. 10, 2022",1,0
28,I wanted a fast dinner meal for my school age kids and ordered one pizza to be delivered. It has been over an hour and a half and we have not gotten the pizza. I have been attempting to get a human being on the phone for over forty-five minutes to no avail. In fact I've had to hear the same recording telling me that the dinner dilemma has been solved because no out pizzas the hut :.( Even though this store is super close to my house I will never use it again.,"Feb. 8, 2022",1,3
29,I ate pizza in Dubai and America. It’s awesome with cheese loaded and toppings too but here it taste like crunchy bread with not a single thread of cheese. Toppings hardly we found here in Bhubaneswar. Very poor quality.,"Jan. 26, 2022",1,3
30,Paid $30 for the dinner box. Included 2 medium pizzas. Some slices didn't have one piece of meat on them. Now for the price that was poor service. The person taking the order seemed to not know anything. Just a bad experience all together.,"Jan. 23, 2022",1,5
31,"Ordered 3 pizzas from the County Line Rd location in Fayettvile. First and last time at any Pizza Hut: it was that bad. Cheese burnt onto crust, crust hard and straight as a board, zero sauce. It was so bad that even my 8-year-old said, ""No thanks."" Nice counter experience, but when we got home we were extremely disappointed. This was further on a Wednesday night, before 6:30 PM, so not a rush time. No good reason for the awful experience.","Jan. 13, 2022",1,4
32,"I recently ordered a large pizza on Jan, 7, 2022 at the Compton Ca location. The pizza was a 3 topping pan. There was literally no sauce, barely any cheese, and very little toppings. The pizza dough was not thoroughly cooked and very little flavor. The only thing good about the pizza, it was hot, and ready when I arrived. I really wish I would of taken the pizza back. We won't be ordering Pizza Hut anymore!","Jan. 11, 2022",1,2
33,"Ordered on Friday Dec. 31. Spent 50$ and got 2 medium pizzas, a 2L pop and some dips for my ""missing"" chicken wings. Called the phone number (online), they transferred me to another phone number (online), they transferred me to another phone number and I was put on hold for over 30 minutes.... Really sucked.","Jan. 7, 2022",1,2
34,"Been a while since I ordered, they changed the sauce. It stinks. No flavor. You're right next to Kraft and killing their mac and cheese recipe. You need to fire your research department and your CEOs. You don't fix what's not broke, now it's broke. No reason to buy from either of you again. Good decision!","Jan. 3, 2022",1,4
35,"The Pizza Hut in Passaic, New Jersey service are horrible. My order was missing an item and another item on my order was not what I ordered. They charged 50 cent for garlic sauce and didn't put it in the bag. I placed the order on online to avoid confusion. However, reading is a problem at this place as well. Just shut down the location.","Jan. 1, 2022",1,2
36,I ordered 2 pizza and breadsticks at 5:15 pm for delivery. At 6:13 I attempted to contact the store to see where my order was. I tried 4 times to reach the store but no answer. I had my husband call and she finally answered. He asked how much longer. She said order was ready but it would be another 1.5 hours because they only had 1 driver. I instructed my husband to file complaint and ask for 50% refund since the pizza has been sitting and probably dried out. They should refund driver tip which was included in order. If they,"Dec. 13, 2021",1,3
37,The Pizza Hut in Columbia Heights MN is the worst pizza place that I have ever had and the people there are so rude. I ordered my pizzas and it took them a little over 2 hours just to bring it to me. I live not even 2 miles away. When I called the lady was so rude to me I have never been treated like that from a pizza place. I'm very disappointed with everything about this place. If I could I would give this place a big double 0000.,"Dec. 13, 2021",1,2
38,"We placed an online order at 4:30pm for delivery, and we didn't get it until after 6pm. Not only was it cooled off, but it was only half our order. The delivery genius said he would let them know at the restaurant, to take it off our bill, but he didn't. I also called the store several times to follow-up, only to get the automated Pizza Hut voice-over. I wrote a complaint on the Pizza Hut website, which no one has responded (it's been more than 3 business days like they said to allow), and if you call customer service, you don't get anyone there, either. Just the same damn automated Pizza Hut voice-over that the Augusta, Maine restaurant had on repeat. It looks like this is the MO for Pizza Hut, just reading through the reviews on here from all over. I'm guessing the company is closing in 2022, because they don't seem to do anything to keep customers. They've certainly lost our business for good.","Dec. 9, 2021",1,2
39,"Placed an online ordered 6:25 p.m., was told order was received and would be ready approximately at 7:02. However that was not true! I stood and waited oh so patiently for 2 hrs! The order was still not ready for pick! The manager was very oh so rude while yelling in the store to the other associates to bring her whatever products she needed at the time! Oh and don’t let me leave out she refused to come to the front counter to speak with the customers upon our request. No one was removing the products from the oven as they came up therefore everything that was in the oven was very much so BEYOND BURNED! On top of that one of those burned products was MINE! ","Dec. 4, 2021",1,2
40,"Order online but I did not get what I ordered. Call the store, the staff asked me to give the order back and renew the order. Suddenly she put me on hold for a year...(very long waiting) after realized, no one call or reply. I called back and put another order and asked to make sure not double order then she put me on hold for a month....(long waiting). I called back for the 3rd times, the customer service told me to forward the call to manager. I even asked, for how long the manager would pick up the call? She said soon. Unfortunately, no reply. No hope, the stuff just rude without any confirmation or anything, just put on hold for long time. They charged my card. I will never order again.","Nov. 1, 2021",1,9
41,Delay in delivering the orders and forgot one dish which was not punched in the system. I called the supervisor and waited nearly 10 minutes. He didn't show up. That's the second time I have same issue in the same restaurant.,"Oct. 26, 2021",2,3
42,"Few friends and I decided to order Pizza Hut, usually we do it online but every payment option was leading to an ""error"" of one for or another so I decided to call, and it led to customer service with people who didn't know anything. They didn't even know of any locations delivering in my area. They were trying to get me to fix the error on my phone when I just wanted to order pizza and when I asked if I could just order they said no, that's a different department so they transferred me. ","Oct. 24, 2021",1,2
43,Pathetic service. Worst experience I ever had. This is the first time I had ordered from Pizza Hut. Unfortunately it has been delayed by 1hour and 50 mins. In spite of that the pizzas were horrible. Awful taste. It tasted like a raw pizza without any cheese and toppings. I had paid extra for cheese but there was no cheese neither any veggies. It was empty. I never ever expected this from pizza hut. Which is known for the best pizzas across the world. I called up customer care but there also I did not get any response. Neither they have refund my money nor they entertained it seriously. I did a big mistake ordering from here.,"Oct. 10, 2021",1,9
44,"I paid $24 for a Detroit style pizza. I was notified it was on the way (I live 15 minutes or less from the restaurant) and it took an hour to arrive. The pizza was cold, and the toppings were ridiculously sparse. I paid for pepperoni (there was none) and sausage (there were about 12 pieces) and mushroom (there were around 8 pieces). The pizza was almost bare. I tried to call the restaurant and was told I would be transferred and was on hold for over 5 minutes. I'm done. I will never order from Pizza Hut again. I can get 3 pizzas from Dominos at this price that are hot, fresh, and chock full of toppings. Pizza Hut, you can do better.","Oct. 10, 2021",1,4
45,Ordered a pizza. 1 hour later got a call from a neighbor saying they received my pizza. Called the HUT and All I Got Was Bad Attitude. They claimed it was properly delivered. Out 30 bucks and no dinner. The so-called manager had very bad attitude and no customer service experience. It Was Like Talking To A Scripted 12 year old. Never again...Reversing The Charges....Bye HUT.,"Oct. 4, 2021",1,3
46,Ordered a delivery pizza and they left it on the sidewalk in the rain under a doorbell by a door without notifying me. I did not check contactless but they choose to do it that way. Do not prepay at this restaurant.,"Oct. 2, 2021",1,3
47,"It was so embarassing coming staright to Pizza hut counter and talking to front end Vipin in GTB Nagar Delhi on 2nd Oct. At the counter as when I was checking the rate and details, he arrogantly handed over the menu to me and told to, ""Check the menu on your own"" and later asked me to sit at the dining table. I was really shocked with the unprofessional attitude. So later I have booked online and promised myself that I will never come to Pizza hut counter.","Oct. 2, 2021",1,0
48,"Their service has went to **!!! Their call line, nobody picks up and when they finally do they hang up or don't know ** so they forward your call. They charged me 4 times, no refund!!! 2 hrs later no pizza!! I am extremely disgusted in Pizza Hut and their cs and hospitality. Papa John's is my new providers. I advise everybody to change to papa johns.","Sept. 27, 2021",1,5
49,"I ordered pizza from Pizza Hut and being a very old customer I expected a good taste but this wasn't the same taste that use to be there. It was disappointing. And moreover, the delivery was also late in spite giving the order so early almost 30 mins late.","Sept. 24, 2021",2,0
50,I ordered pizza at this location for delivery and they forgot my sauces. I called to see if they could bring them to me and the manager said that they were not going to send my sauces with any driver. They wanted to give me a credit but I ordered the sauces and I told them that they should have not forgotten them. They said that people make mistakes and I agree but mistakes are made to be fixed.,"Sept. 11, 2021",1,5
51,Ordered Pizza online. Paid with card. Even left a tip on transaction. Guess what? Two hours later no pizza. will not support this company again. Local pizza shops are better. Do not write anything bad. Consumer Affairs does not like it.,"Sept. 9, 2021",1,4
52,"I used the online app to order one large pizza with 3 toppings. The toppings mushrooms, black olives, and banana peppers. This pizza was intended to feed a family with small children. I also ordered a side of bottle of pop and bread sticks. I also asked for curb side pick up so I didn’t have to get the children out of their seats to go in. Because of this I tipped 25 percent on my order. Big mistake!!! I got there. The app wasn’t working so I couldn’t check in. I tried calling but no one picked up. I kept trying to call. Eventually gave up. I got the kids all undone from their car seats. Went in. I noticed there was only one family in the lobby. All six employees were messing around not one of them working or cooking and the phone left off the hook. I got my pizza and bread sticks.","Sept. 8, 2021",1,9
53,"We tried the new Detroit thick crust pizza. It's rectangular and we had the pepperoni with mushrooms. They pour extra sauce on top of the cheese and toppings. We didn't like that. If you really like tasting and seeing your toppings, tell them to leave off the extra sauce on the top. It's just too much. Yuk!!!","Sept. 7, 2021",3,7
54,My wife order online and call them same time for confirmation of order and location. After we received 2 time calls from their different branches about location and we explain them. They keep transfer our order from one to another branch and then they are able to deliver after 100 minutes when I ask them to CANCEL the order.,"Sept. 7, 2021",1,2
55,"The worst experience I have ever had with delivering pizzas. I ordered 3 pizzas. It was an estimated 65-85 minute delivery time. 30 minutes later, I get a call from the manger saying there were 80 deliveries before mine and they won't be able to deliver that night. I asked to pick it up in 30 minutes (an hour after ordering and paying for it already) and the manger that time wasn't available for pick up. I ended up cancelling the order and I'm still waiting for my full refund. I will never order from Pizza Hut again. This wasn't the first bad experience and they won't get another opportunity!!!!","Sept. 5, 2021",1,4
56,"My husband and I decided as of his testing clear of COVID, we’d treat ourselves to a pizza. We chose Pizza Hut because it was close. Ordered online for curbside pickup and we got an email with instructions. We arrived and there were no designated anything for curbside so as directed in the email, we called to alert them we were there. ","Sept. 3, 2021",1,7
57,For the first time in several years I ordered a pizza online to pick up at Pizza Hut. I should have read these reviews first. My pizza was ready a half hour after it was supposed to be brought to my car. It was overcooked and so salty as to be inedible. So unhealthy. I looked it up and found that Pizza Hut in America uses more than double the salt that it uses in other countries. Shame on them. Do not feed this to your children or eat it yourself.,"Aug. 28, 2021",1,4
58,I ordered over an hour ago for a 45 minute deliver and I called the store and they have no record of the order. I paid with a credit card. Not the first time this has happened. This is going to be the last time I order from Pizza Hut. Order from anywhere else until they get their act together. Horrible.,"Aug. 10, 2021",1,6
59,"Placed an order online. ORDER # **. Placed on July 23 at 5:56 PM. Somewhat lost track of time, call two hours after order is placed. Store has no record of the order. But my credit card has been charged. No one can tell me how to fix that. Nowhere on the web site. On duty manager just tells me to wait 24 hours to see if it reverses and call back if it does. How, exactly, is that going to work? Why would they just credit me my money out of the blue? Personally I think she was just trying to get rid of me. So I guess I'll just have to dispute the charge with my credit card company. We'll see what happens, but I doubt I'll ever be ordering anything from Pizza Hut again.","July 24, 2021",1,8
60,"After ordering the pizza, paying a delivery charge (which sole purpose seems to be to decrease the driver's tip while enriching the corporation), paying taxes, and tipping the driver 15% (it would have been 25% without the delivery charge) my total was about $30.00. And for $30.00 I received 4 small bottles of Diet Pepsi (real value: about $2.00) and a pizza that had a leathery, dry crust and dry vegetables (real value: about $3.00). I'm assuming the pizza was sitting under a heat lamp before delivery for a couple of hours. Doing the math, the corporation took $25.00 from me. Yum! Brands owns Pizza Hut; they own a number of fast-food franchises and the result is high prices and poor food.","July 19, 2021",1,3
61,Stole 50 dollars from my debit card and never responded to my calls. Now me and my kids are eating beans to get the hunger of a promise I broke that Pizza Hut was on its way.... never got here. GOD BLESS YOU.,"July 1, 2021",1,8
62,I haven't had Pizza Hut pizza in a lot of years and I decided I would get one for Father's Day as a treat. I'm sorry to say it was very disappointing. I had ordered a stuffed crust with extra cheese but the cheese was very thin and the stuffed crust wasn't stuffed. It's been a few years since I've had a pizza from pizza hut. My memory of the stuffed crust was when I would bite into the crust the cheese was running out and the one I got was from what I remember. I will have to say I'll be trying another brand next.,"June 22, 2021",2,7
63,"Ordered online, went to pick up order, staff come out, says name. The staff grabbed receipt for me to sign, threw it on counter said sign and walked to back of store after putting food on counter. NOT A HELLO, GOODBYE, OR THANK YOU!!!! YOU are in the wrong business. You have NOOO CUSTOMER SERVICE!!!!","June 21, 2021",1,9
64,I order 5 pizzas and a Bread. My son pay cash and I only receive 3 pizzas. I call 10:47. It's 11:21. Keep waiting for my pizzas.!! I call the driver. She told me to call the Pizza hut and they say they will send the pizzas but I'm keep waiting.,"June 20, 2021",1,3
65,"I ordered pizza and breadsticks from the Pizza Hut on S Business Dr in Sheboygan. I called to complain and tell them that I didn't receive the marinara and they said, ""What do you want us to do about it. If it wasn't in the bag then I guess you don't get any."" And then hung up. The pizza I got was almost all the way cold. I will NEVER order from pizza hut again. Since they can't even give their customers the time of day and if I was you I wouldn't either.","June 18, 2021",1,3
66,I called and ordered pizza. The guy that took the order read my order back to me as requested. Two large three toppings special (I ordered the same thing the week before). When my pizza arrived it was one (1) medium 3 topping and 4 sauces?  The bill was the same as if I got 2 large pizza’s. The driver was the same one from week before very nice. I called and actually got the Pizza Hut itself not the call center. Spoke with some gentleman about the problem. All I got was this is the order we received. Well thank you Sangaree SC Pizza Hut order number 159 for the experience.,"June 13, 2021",1,2
67,"I had ordered Pizza order no. **, 30 May 2021, after confirming my google location, which obviously include pin-code number of my location. My order was cancelled last moment as this order was directed to Mumbai location. What is this embarrassment? Pizza hut are you working rightly?","May 30, 2021",1,3
68,"I ordered to get delivered and it was terrible. They didn't bring me the right thing and they brought me a whole other order. I ordered with the app and they didn't even ask for money they just left it there, my friend order and it was delivered to my place. This is utterly ridiculous. Not ordering AGAIN. I also choked on the food and the Pepsi was very flat.","May 17, 2021",1,6
69,Cockroaches came along from the pizza parcel and that are moving. I got vomit after seeing it. I took pics also. Such a waste management there. Because of the management the entire company name is going downfall.,"March 6, 2021",1,18
70,Worst pizza I ever had... This place always has bad pizza whenever my family gets it... My little sister got the mini cinnamon buns and they were so small and seemed so unfresh... Honestly I could grab a piece of bread and put butter and cinnamon and it would taste better... The pizza makes me want to throw up every time I eat it and I honestly don’t understand how others can stomach it.,"Feb. 22, 2021",1,14
71,"I was delivered an uncooked pizza, the dough was soft and discolored like it was still partially frozen. I called and asked to speak to the manager & was put on hold for 20 minutes. I drive there while remaining on hold to see if anyone would ever answer. I get to the store and the manager is standing there doing absolutely nothing along with another employee. ","Feb. 10, 2021",1,15
72,I called Pizza Hut in Liberty Mo. The guy who answered the phone- suggested I order online. When I told him I will place my order on the phone - he was very rude- at the end he even hung up on me. He told me the wait time was over 2 hours for carry out. He didnt tell me how much I owe and if I wasnt already shocked by his behavior- he then hung up on me... I then called right back and asked for his manager. I have always had a good experience with this location. But this bad experience - really suprised me and changed my experience. I will never order from there again.,"Jan. 25, 2021",1,7
73,"I called two Pizza Hut's, both within 4.3 miles of my house, and neither would delivery to such an astronomical distance. Thank you for confirming that I should not be eating your product. The last time, no matter my location, I will ever attempt to purchase your food.","Jan. 23, 2021",1,8
74,"Tonight I placed an order online due to being in a time crunch. I arrived at the Pizza hut about 35 minutes after placing the order. After paying for the pizza, the front desk cashier pulled my 2 pizzas out of the oven and dropped them both on the floor. She yelled towards the back that she dropped the pizzas and that they needed to be remade. I asked the young lady if I could be compensated by getting the pizza at half off or if I could get one pizza free of charge. The pizza cook looked to the front counter and said, ""MAN, NO!"" ","Jan. 17, 2021",1,9
75,"I ordered a Pizza to be delivered to my door. The delivery charge was $4. I was with my grandchild. I was told to come down to the lobby. They refused to bring it upstairs. Therefore, I cancelled. Other Pizza companies have their delivery person bring the orders up to my door and I give them tips for bringing the orders up to my door. This is the first time you all refused to deliver my order upstairs. They should have mentioned on their website clearly stating that they do not deliver to the door.","Jan. 9, 2021",1,8
76,I ordered a large cheese and tomato pizza. I got a medium cheese with a few dices of tomato. Not even crunchy. Not tasty at all for 25.65$!!!! From Pizza Hut Saint-Laurent. On the other hand the pizza hut close to Cote-Vertu station was the best ever and I ordered the same for 12$!!!!,"Jan. 1, 2021",1,5
77,This was my first experience with Pizza Hut delivery and it was my worst and would not ever try ordering pizza from pizza hut. I order a pizza an hour ago and it did not reach me and now I am unable to contact pizza hut neither through call nor through any app/website. I was stood up in a party and had to order from somewhere else after an hour. My order number as sent through text was: **. My contact number is:- +**. My E-mail ID is:- **.,"Dec. 31, 2020",1,6
78,"Pizza uncooked dough, no cheese, without proper topping. After eating start vomiting. No taste at all we have wasted our money. And we have to through Pizza Hut is a disgusting place and very very bad for health.","Nov. 16, 2020",1,12
79,Doesn’t Pizza Hut train how to make pizzas? Ordered two pizzas. Both were very dry. Like eating crackers. Worst pizza I have ever eaten. May not ever order again from Pizza Hut. Ordered pizza from 803 Mason Rd location.,"Nov. 7, 2020",2,8
80,"Their P'zone is ALL dough and next to NOTHING in the inside of the P'zone. After paying $30.19 for two P'zones (Canadian and Meat lovers) plus delivery is NOT worth it. Almost ALL of the P'zone is the dough which I would have been better off and would have SAVED my $30.19 and had some toast instead!!!! You have lost our business FOREVER. Returning tomorrow to show you what garbage we got delivered to us on Oct 30/20. We tried to call someone at Customer Service, but there was a high volume of calls and we didn't get through. On your phone prerecorded message it says loaded with ingredients - now that is CRAP cause there is so little ingredients!!!!","Oct. 31, 2020",1,7
81,"I went to visit my granddaughter in Grove Oklahoma who is three and she had just had surgery. And we went to our hotel and I ordered pizza from Pizza Hut and had it delivered to our room, the lady hands our pizza and leaves. I open up the pizza box and the pizza literally was like a sandwich. The pizza was on top of the pizza so I called Pizza hut and I told them that I had seven grandchildren and I had just spent $50 on this pizza and it was like a sandwich pizza on pizza so they said, ""Okay ma'am what do you want us to do?"" I said well I want a new pizza brought to my grandkids so they brought it and had the nerve to ask me to give them that pizza so that they could make sure I was telling the truth and then took the pizza with them. So I will never buy from Pizza hut in Grove Oklahoma again.","Oct. 30, 2020",2,5
82,"I have reached out to Pizza Hut directly via phone, email, and an online survey on their website and no one has gotten back to me. I did receive a ""thank you for your feedback"" email with a promise someone will contact me but that has yet to happen. I left my complaints on Oct 3rd and 4th. It is now Oct 23rd and nothing has been resolved. Below is the review I left with them. Again, 3 attempts were made with them directly before bringing it here. I am extremely disappointed in Pizza Hut's lack of willingness to get back to me about the issues I encountered. ","Oct. 23, 2020",1,3
83,"We get wings plain ran through the oven twice...We call to get it done tonight and first they said they don't do that. After putting in my number they saw that they had done it for us before....so now the manager says, ""We will do it just this time but we are not suppose to do it..."" ""So why did y'all do it the first time???"" He was very rude....will not order from them again...This was the Edgewood Pizza Hut in Lakeland Fl.. I work customer service 28 years and they need some classes like yesterday...Please give them some classes...Need a new manager asap!","Oct. 16, 2020",1,4
84,"I haven't ordered from Pizza Hut in a while, saw a promotion on TV and decided to give it a try again, however it may be a long time before I try anything more from Pizza Hut, the sauce is so watered down you can't even taste it on the pizza, we also ordered the breadsticks and it came with it small little container of the water down sauce. It's kind of gross. Pizza Hut you're messing up.","Sept. 20, 2020",1,0
85,"This is just a general review. I just want to say I am truly disappointed in the quality of the pizzas now. Pizza Hut is no different from Little Ceasers or any of those now. They are charging for stuff now that use to be standard. The crust is dry with no flavor unless you pay $2 extra for deep dish. The cheese is hard and looks synthetic unlike the white cheese that use to string from your mouth in the past. And most of all the lacking of toppings, no sauce and very stingy on the toppings. But the price is still is pretty steep unlike other pizza chains that taste just as bad. ","Sept. 15, 2020",1,2
86,"I used my card to order pizza online, whoever was in charge that night used my card information to dry out my account. Cashapped himself or herself, ordered uber, ordered pizza and couple of other things, all done at night. Save yourself, be careful ordering online from pizzahut.","Sept. 3, 2020",1,9
